partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AME_N_OTH,IT,: ,: ,104016,166133,57954,68430,55597,32375,: ,: ,: ,: 
AME_N_OTH,LT,: ,: ,702,: u,: u,: u,: u,: u,: u,: ,: ,: 
AME_N_OTH,LU,: ,: ,3000,5000,4605,2819,4773,3154,4766,: ,: ,: u
AME_N_OTH,LV,: ,: ,: u,2747,: ,9075,6120,7994,7097,: ,: ,: 
AME_N_OTH,MT,: ,: ,: ,: ,: ,: ,3237,3423,3201,: ,: u,: 
AME_N_OTH,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
AME_N_OTH,NO,: ,: ,: ,16525,: ,29127,9360,24037,6224,: ,: ,: 
AME_N_OTH,PL,40000,: ,: ,: ,: ,: ,: ,26000,26000 e,: ,: ,: 
AME_N_OTH,PT,: ,: ,: ,: ,26589,: ,16319,17151,22099,: ,: ,: 
AME_N_OTH,RO,: ,: ,: ,: ,: ,: ,: ,: ,7091,: ,: ,: 
AME_N_OTH,SE,: ,: ,: ,13000,20000,21000,15000,23000,27000,: ,: ,: 
AME_N_OTH,SI,1363,4949,: u,: u,: u,: u,: u,: u,: u,: ,: ,: 
AME_N_OTH,SK,: ,: ,: ,: ,: ,: ,: ,13368,12563,: ,: ,: 
AME_N_OTH,UK,: ,316600,360328,664212,625099,580734,442206,373559,402004,: u,: u,: 
AR,AT,: ,: ,: ,5878 e,: ,: ,: ,: ,1953,: ,: u,: 
AR,BE,: ,: ,: ,3117,: ,: ,1325,: u,: u,: ,: u,: 
AR,CH,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: ,: 
AR,CY,: ,: ,: ,126,: ,121,187,95,167,: ,: u,: 
AR,DE,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,: 
AR,DK,: ,: ,: ,: ,: ,12824,0,5071,8646,: u,: u,: 
AR,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,269999 e,232624 e,: 
AR,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: ,: 
AR,EL,: ,: ,: ,: ,: ,: ,: ,0,0,: ,: ,: 
AR,ES,: ,: ,123474,: u,: u,: u,: u,: u,: u,72028,77092,59345 u
AR,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,323383 e,281255 e,: 
AR,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,323332 e,281496 e,: 
AR,FI,: ,: ,: ,: ,: ,5000,: ,: ,: ,: u,: u,: u
AR,FR,: ,: ,53314,36532,58189,54208,36851,36394,47835,: u,: u,: 
AR,HR,: ,: ,: ,: ,: ,: ,: ,0,0,: ,: u,: 
AR,HU,: ,: ,: ,: u,: u,: u,: u,: u,1362,: u,: u,: u
AR,IE,: ,: ,: ,: ,2000,: ,: ,: u,: u,: u,: ,: 
AR,IT,: ,: ,18889,108659,: ,26691,45071,: ,48868,: u,: u,: u
AR,LT,: ,: ,: ,: ,: u,: ,: u,: ,: ,: u,: u,: 
AR,LU,: ,: ,: ,: ,408,768,326,377,782,: u,: u,: u
AR,LV,: ,: ,: ,: ,616,: u,: ,255,: ,: ,: ,: 
AR,MT,: ,: ,: ,: ,34 e,: ,115,89,53,: ,: u,: 
AR,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AR,NO,: ,: ,: ,9098,: ,: ,: ,: ,6081,: ,: ,: 
AR,PL,: ,: ,: ,: ,: ,: ,: ,0,0 e,: u,: u,: 
AR,PT,: ,: ,: ,: ,: ,: ,: ,7996,3302,: ,: u,: 
AR,SE,: ,: ,: ,: ,: ,: ,7000,: ,: ,: ,: ,: 
AR,SI,: ,: ,: ,: ,: ,: u,: ,0,0,: u,: u,: 
AR,SK,: ,: ,: ,: ,: ,: ,: ,0,0,: ,: ,: 
AR,UK,: ,20808,23657,37496,33982,35754,33279,29492,29704,27986 u,22992 u,: 
ASI,AT,: ,221200,249440,269233,308410,336015,311968,: u,288905,487598,413881,: 
ASI,BE,112474,215188,127575,150445,232082,174996,225366,219746,: u,135481,265251,: 
ASI,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
ASI,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,399843,446964,: 
ASI,CY,88446,121137,105139,79312,85067,109682,95077,98229,83725,80762 b,79597,: 
ASI,CZ,: u,: u,99399,: u,: ,: u,: u,: u,: u,132534 u,114786 u,: 
ASI,DE,: u,: u,: u,: u,2657085,2905037,3260039,3645666,3091530,3966343,4278892,: 
ASI,DK,172400,133920,219075,282797,276564,201834,296191,294283,418409,391441,346633 b,: 
ASI,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,8168934 e,8412380 e,: 
ASI,EE,: ,: ,: ,: ,: u,: ,: u,: ,: u,: u,41804 u,: 
ASI,EL,14100,51773,50892,62879,28084,73793,26496,26619,30814,21719 u,19314 u,: 
ASI,ES,45740,79379,218970,: u,: u,: u,: u,: u,: u,333151,218908,364774
ASI,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,13203112 e,13298438 e,: 
ASI,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,13241087 e,13356224 e,: 
ASI,FI,111000,140000,154000,202000,262000,233000,294000,294000,275000,405553 b,347413,345131
ASI,FR,632000,1036000,1262976,1346387,1482524,1243556,1294084,1283821,1310442,1307241,1482302,: 
ASI,HR,: ,: ,: ,: ,25585,42293,32300,24993,12949,: u,: u,: 
